Students,Sockets,Heuristic_Z,Heuristic_U,Heuristic_Optimization_Time,Gurobi_Z,Gurobi_U,Gurobi_model_build_time,Gurobi_optimization_time
39,1,6.0,0.24519230769230768,0.010034799575805664,6.0,0.2588141025641026,0.6636431217193604,6.534069299697876
39,1,5.0,0.20833333333333334,0.010001182556152344,5.0,0.21794871794871806,0.07402753829956055,10.522316455841064
39,1,5.0,0.21955128205128205,0.00899958610534668,5.0,0.23717948717948723,0.08401298522949219,5.8038249015808105
39,1,5.0,0.20833333333333334,0.009000778198242188,5.0,0.22195512820512825,0.07103466987609863,9.28238844871521
39,1,5.0,0.21233974358974358,0.010031700134277344,5.0,0.2227564102564096,0.0780344009399414,31.401137590408325
39,1,5.0,0.2155448717948718,0.005999565124511719,5.0,0.22916666666666674,0.0720357894897461,10.523579120635986
39,1,4.0,0.19391025641025642,0.0070018768310546875,4.0,0.21875000000000006,0.08001184463500977,5.869770765304565
39,1,5.0,0.2171474358974359,0.005999088287353516,5.0,0.2307692307692301,0.074005126953125,50.13742733001709
39,1,5.0,0.2171474358974359,0.006028652191162109,5.0,0.23237179487179419,0.07200217247009277,23.84827184677124
39,1,6.0,0.24759615384615385,0.006285905838012695,6.0,0.2604166666666667,0.0790550708770752,7.924966096878052
39,2,9.0,0.31650641025641024,0.005998849868774414,9.0,0.3253205128205126,0.08200979232788086,7.134259462356567
39,2,8.0,0.27163461538461536,0.005998373031616211,8.0,0.27483974358974356,0.07300209999084473,7.05075740814209
39,2,8.0,0.2828525641025641,0.006001472473144531,8.0,0.29647435897435886,0.07899928092956543,9.512351751327515
39,2,7.0,0.2724358974358974,0.00599980354309082,7.0,0.29326923076923067,0.0740058422088623,12.596986532211304
39,2,7.0,0.2708333333333333,0.0060002803802490234,7.0,0.29807692307692296,0.0720055103302002,14.019079208374023
39,2,8.0,0.28125,0.005998849868774414,8.0,0.2868589743589743,0.07603788375854492,6.988121271133423
39,2,7.0,0.25801282051282054,0.005998134613037109,7.0,0.27323717948717946,0.07502985000610352,11.7825345993042
39,2,8.0,0.28044871794871795,0.007000446319580078,8.0,0.2860576923076922,0.08898568153381348,8.001791954040527
39,2,8.0,0.28205128205128205,0.006031990051269531,8.0,0.28605769230769224,0.07196974754333496,7.001311540603638
39,2,9.0,0.3141025641025641,0.006000041961669922,9.0,0.31810898199748017,0.0720362663269043,7.838777303695679
39,3,11.0,0.3886217948717949,0.006000041961669922,11.0,0.40705128205128077,0.07303643226623535,52.748533725738525
39,3,10.0,0.3373397435897436,0.005033016204833984,10.0,0.34535256410256304,0.07596802711486816,60.586920499801636
39,3,10.0,0.34775641025641024,0.005033254623413086,10.0,0.3629807692307689,0.07097172737121582,14.934040307998657
39,3,10.0,0.33814102564102566,0.005999326705932617,10.0,0.34935897435897406,0.07200145721435547,8.529384136199951
39,3,9.0,0.3373397435897436,0.004998445510864258,9.0,0.35897435897435864,0.07300376892089844,15.954845666885376
39,3,10.0,0.3421474358974359,0.005999565124511719,10.0,0.35096153846153816,0.07503271102905273,11.926574468612671
39,3,9.0,0.32371794871794873,0.0059986114501953125,9.0,0.34455128205128177,0.07900261878967285,13.387321472167969
39,3,10.0,0.34775641025641024,0.005999565124511719,10.0,0.35737179487179455,0.08453035354614258,12.114908218383789
39,3,10.0,0.34615384615384615,0.005015373229980469,10.0,0.361378205128204,0.07100033760070801,65.79317235946655
39,3,11.0,0.3838141025641026,0.006034374237060547,11.0,0.4006410256410244,0.0729682445526123,60.488040924072266
39,4,14.0,0.46153846153846156,0.006000041961669922,14.0,0.47195512820512747,0.07600283622741699,20.64238929748535
39,4,12.0,0.3998397435897436,0.006039619445800781,12.0,0.4078525641025628,0.07200145721435547,51.69851112365723
39,4,12.0,0.4166666666666667,0.005037069320678711,12.0,0.4310897444575791,0.07196450233459473,26.005645990371704
39,4,12.0,0.4014423076923077,0.004999876022338867,12.0,0.41346153846153794,0.07700252532958984,16.39433217048645
39,4,12.0,0.4046474358974359,0.005041360855102539,12.0,0.4166666666666667,0.07103228569030762,18.14445400238037
39,4,12.0,0.40625,0.0060007572174072266,12.0,0.41666666666666535,0.07296895980834961,51.062885999679565
39,4,11.0,0.3926282051282051,0.006419181823730469,11.0,0.41426282051282,0.08223509788513184,25.196853160858154
39,4,12.0,0.4126602564102564,0.004999399185180664,12.0,0.42868589743589686,0.07730269432067871,26.25688409805298
39,4,12.0,0.4078525641025641,0.004999637603759766,12.0,0.42788461538461403,0.07302665710449219,50.87000894546509
39,4,13.0,0.45032051282051283,0.005028247833251953,13.0,0.4775641025641018,0.07200312614440918,19.77265167236328
39,5,16.0,0.5368589743589743,0.00599980354309082,16.0,0.5528846153846136,0.07602858543395996,73.56332778930664
39,5,14.0,0.46073717948717946,0.011002063751220703,14.0,0.47195512820512747,0.07800102233886719,30.918175220489502
39,5,14.0,0.4791666666666667,0.005009174346923828,14.0,0.5048076923076907,0.07203459739685059,63.19558119773865
39,5,14.0,0.4655448717948718,0.005034685134887695,14.0,0.48157051282051205,0.07303285598754883,42.14026618003845
39,5,14.0,0.4703525641025641,0.007001161575317383,14.0,0.4871794871794864,0.08800530433654785,20.357341527938843
39,5,14.0,0.47115384615384615,0.004998922348022461,14.0,0.48637820512820357,0.07675361633300781,57.57632255554199
39,5,14.0,0.45592948717948717,0.005987405776977539,14.0,0.46314102564102416,0.09600257873535156,58.61962580680847
39,5,14.0,0.4791666666666667,0.004996776580810547,14.0,0.4967948793994488,0.0750429630279541,30.956292867660522
39,5,14.0,0.47596153846153844,0.006027698516845703,14.0,0.49439102564102405,0.07300281524658203,56.615416526794434
39,5,16.0,0.5216346153846154,0.005045175552368164,16.0,0.5344551282051265,0.07204055786132812,69.9550712108612
39,6,18.0,0.6081730769230769,0.005003213882446289,18.0,0.6290064102564082,0.0729684829711914,133.5530743598938
39,6,16.0,0.5296474358974359,0.0060346126556396484,16.0,0.5408653846153829,0.07699990272521973,53.86175513267517
39,6,16.0,0.5440705128205128,0.006000995635986328,16.0,0.5681089743589726,0.07773804664611816,57.51576519012451
39,6,16.0,0.5344551282051282,0.007002115249633789,16.0,0.5536858974358965,0.08800053596496582,36.450356245040894
39,6,16.0,0.5344551282051282,0.0060269832611083984,16.0,0.5552884615384606,0.07997322082519531,24.108408451080322
39,6,16.0,0.5392628205128205,0.004965782165527344,16.0,0.5576923076923059,0.07203125953674316,58.48109316825867
39,6,16.0,0.5224358974358975,0.004998445510864258,16.0,0.5344551282051265,0.07888531684875488,57.37807083129883
39,6,17.0,0.5440705128205128,0.004958391189575195,17.0,0.5520833333333324,0.07803821563720703,21.798030614852905
39,6,16.0,0.5416666666666666,0.00503993034362793,16.0,0.5657051282051264,0.07401251792907715,72.81509065628052
39,6,18.0,0.5905448717948718,0.0050318241119384766,18.0,0.608173076923075,0.07400178909301758,73.21464323997498
39,7,21.0,0.6786858974358975,0.005019664764404297,21.0,0.6899038461538439,0.0839693546295166,69.66778755187988
39,7,18.0,0.594551282051282,0.00500798225402832,18.0,0.6073717948717929,0.07403564453125,102.17120623588562
39,7,19.0,0.6105769230769231,0.004982471466064453,19.0,0.6209935897435878,0.07303285598754883,74.01700258255005
39,7,18.0,0.5977564102564102,0.0049648284912109375,18.0,0.6185897435897416,0.07400798797607422,87.97919726371765
39,7,18.0,0.6001602564102564,0.004998683929443359,18.0,0.6193910256410237,0.07303380966186523,68.66676330566406
39,7,18.0,0.6057692307692307,0.0059964656829833984,18.0,0.624198717948716,0.07203197479248047,110.69339179992676
39,7,18.0,0.5881410256410257,0.006596088409423828,18.0,0.6049679487179468,0.07303547859191895,64.69917964935303
39,7,19.0,0.6129807692307693,0.004967689514160156,19.0,0.6217948717948698,0.07603120803833008,80.9099531173706
39,7,18.0,0.6105769230769231,0.004997968673706055,18.0,0.6330128205128185,0.07203507423400879,167.97074389457703
39,7,20.0,0.6602564102564102,0.0050334930419921875,20.0,0.6850961538461516,0.07399940490722656,63.58824038505554
39,8,23.0,0.75,0.003998994827270508,23.0,0.7644230769230744,0.08303284645080566,106.48920369148254
39,8,20.0,0.6586538461538461,0.0070002079010009766,20.0,0.6730769230769209,0.07196879386901855,87.57614064216614
39,8,21.0,0.6786858974358975,0.006998777389526367,21.0,0.691506410256408,0.07300114631652832,72.00944232940674
39,8,20.0,0.6674679487179487,0.005007266998291016,20.0,0.6866987179487157,0.08297085762023926,128.1654040813446
39,8,20.0,0.6602564102564102,0.0049991607666015625,20.0,0.6850961538461516,0.07200121879577637,86.03663659095764
39,8,21.0,0.6722756410256411,0.005029916763305664,21.0,0.6794871794871773,0.07200503349304199,79.59212565422058
39,8,20.0,0.6538461538461539,0.005000114440917969,20.0,0.6714743589743568,0.07299971580505371,90.3871476650238
39,8,21.0,0.6746794871794872,0.005025386810302734,21.0,0.6874999999999978,0.07200050354003906,83.8197991847992
39,8,21.0,0.6730769230769231,0.00503087043762207,21.0,0.6891025641025619,0.07696795463562012,69.55490279197693
39,8,23.0,0.7307692307692307,0.0040416717529296875,23.0,0.7379807692307668,0.09897160530090332,66.20844388008118
39,9,25.0,0.8245192307692307,0.004999876022338867,25.0,0.8381410256410237,0.08403801918029785,180.3311641216278
39,9,22.0,0.719551282051282,0.005994081497192383,22.0,0.7363782051282027,0.07896590232849121,131.1432318687439
39,9,23.0,0.7459935897435898,0.003999948501586914,23.0,0.7628205128205103,0.07403326034545898,73.08623671531677
39,9,22.0,0.7307692307692307,0.0050084590911865234,22.0,0.7524038461538445,0.08702468872070312,180.34878087043762
39,9,22.0,0.7259615384615384,0.00499415397644043,22.0,0.7483974358974335,0.07400274276733398,171.17735767364502
39,9,23.0,0.7355769230769231,0.004998922348022461,23.0,0.7508012820512796,0.09300589561462402,80.85235166549683
39,9,22.0,0.717948717948718,0.005004167556762695,22.0,0.7363782051282027,0.07996582984924316,106.58828401565552
39,9,23.0,0.7435897435897436,0.003984928131103516,23.0,0.7556089743589719,0.0729990005493164,86.04496431350708
39,9,23.0,0.7403846153846154,0.00496673583984375,23.0,0.7588141025641001,0.07699990272521973,72.61615872383118
39,9,25.0,0.7996794871794872,0.004000186920166016,25.0,0.8133012820512794,0.07103466987609863,81.00598692893982
39,10,28.0,0.8982371794871795,0.004030704498291016,28.0,0.9070512820512798,0.07300162315368652,180.36136388778687
39,10,24.0,0.7860576923076923,0.0039675235748291016,24.0,0.7972756410256384,0.10299944877624512,161.49999809265137
39,10,25.0,0.8092948717948718,0.004660606384277344,25.0,0.8269230769230742,0.07495546340942383,97.09716749191284
39,10,25.0,0.7948717948717948,0.003998517990112305,25.0,0.8052884615384589,0.07503414154052734,78.87815117835999
39,10,25.0,0.7940705128205128,0.004968881607055664,25.0,0.8036858974358948,0.07999873161315918,96.7843644618988
39,10,25.0,0.7996794871794872,0.003966331481933594,25.0,0.8100961538461512,0.07500123977661133,95.29643297195435
39,10,24.0,0.7836538461538461,0.004040718078613281,24.0,0.8020833333333307,0.07103228569030762,134.7196011543274
39,10,25.0,0.8076923076923077,0.0060329437255859375,25.0,0.8221153846153819,0.07196998596191406,92.84233856201172
39,10,25.0,0.8060897435897436,0.003999948501586914,25.0,0.823717948717946,0.07596302032470703,92.119313955307
39,10,27.0,0.8701923076923077,0.004033565521240234,27.0,0.8822115384615355,0.0729670524597168,172.39705562591553
39,11,30.0,0.9671474358974359,0.0040073394775390625,30.0,0.9751602564102532,0.07204103469848633,177.81817317008972
39,11,26.0,0.8461538461538461,0.004029512405395508,26.0,0.8605769230769202,0.07199954986572266,160.95720958709717
39,11,28.0,0.8782051282051282,0.003999233245849609,28.0,0.8862179487179458,0.0760033130645752,86.06917643547058
39,11,27.0,0.8621794871794872,0.004037618637084961,27.0,0.8709935897435869,0.07199454307556152,115.56349420547485
39,11,27.0,0.8581730769230769,0.004000186920166016,27.0,0.872596153846151,0.0709991455078125,99.41448736190796
39,11,27.0,0.8653846153846154,0.004000663757324219,27.0,0.8701923076923056,0.1455540657043457,180.41565418243408
39,11,27.0,0.8517628205128205,0.0040018558502197266,27.0,0.857371794871792,0.07400012016296387,98.28233337402344
39,11,27.0,0.875801282051282,0.003996133804321289,27.0,0.8854166666666637,0.07696771621704102,168.811856508255
39,11,27.0,0.8717948717948718,0.004031658172607422,27.0,0.8846153846153825,0.0819694995880127,180.3984100818634
39,11,30.0,0.9407051282051282,0.004000663757324219,30.0,0.9439102564102533,0.07600188255310059,99.0025622844696
39,12,32.0,1.0,0.0030317306518554688,32.0,1.0,0.07197046279907227,1.3330588340759277
39,12,29.0,0.9134615384615384,0.004999876022338867,29.0,0.9174679487179457,0.07203531265258789,103.43877363204956
39,12,30.0,0.9407051282051282,0.004032611846923828,30.0,0.9463141025640994,0.0709693431854248,159.4179949760437
39,12,29.0,0.9270833333333334,0.003996610641479492,28.0,0.9366987179487156,0.07403421401977539,180.3547008037567
39,12,29.0,0.9222756410256411,0.0039997100830078125,29.0,0.9310897435897405,0.0800011157989502,146.2614676952362
39,12,29.0,0.9326923076923077,0.004030704498291016,29.0,0.9366987179487156,0.07300209999084473,180.32134103775024
39,12,29.0,0.9174679487179487,0.004999637603759766,28.0,0.926282051282049,0.07903409004211426,180.31350994110107
39,12,30.0,0.9423076923076923,0.004032135009765625,28.0,0.9487179487179463,0.07697010040283203,180.24461030960083
39,12,29.0,0.938301282051282,0.004033565521240234,29.0,0.9463141025641002,0.07496500015258789,180.29974102973938
39,12,32.0,1.0,0.006030559539794922,32.0,0.9999999999999967,0.07996869087219238,79.38959765434265
39,13,32.0,1.0,0.003999471664428711,32.0,1.0,0.07203412055969238,0.24100470542907715
39,13,31.0,0.9775641025641025,0.003998279571533203,31.0,0.9815705128205103,0.07800555229187012,180.43476486206055
39,13,32.0,1.0,0.0029990673065185547,32.0,0.9999999999999967,0.0740041732788086,27.908012628555298
39,13,31.0,0.9919871794871795,0.004000186920166016,30.0,0.9871794871794847,0.07100391387939453,180.6787965297699
39,13,31.0,0.9879807692307693,0.003999948501586914,30.0,0.9863782051282026,0.08100175857543945,180.52566647529602
39,13,31.0,0.9983974358974359,0.002985715866088867,31.0,0.9935897435897411,0.07400250434875488,180.64248776435852
39,13,31.0,0.9823717948717948,0.0030405521392822266,30.0,0.9839743589743565,0.07896804809570312,180.25567889213562
39,13,32.0,1.0,0.0030264854431152344,32.0,0.9999999999999967,0.12596797943115234,74.3985116481781
39,13,31.0,0.999198717948718,0.0029993057250976562,30.0,0.9967948717948693,0.08703374862670898,180.81988787651062
39,13,32.0,1.0,0.0029854774475097656,32.0,1.0,0.08502459526062012,0.9250473976135254
39,14,32.0,1.0,0.0029993057250976562,32.0,1.0,0.07200384140014648,0.326108455657959
39,14,32.0,1.0,0.0030107498168945312,32.0,1.0,0.07296633720397949,1.0145423412322998
39,14,32.0,1.0,0.003973245620727539,32.0,1.0,0.07499957084655762,0.5270061492919922
39,14,32.0,1.0,0.003000020980834961,32.0,1.0,0.08199954032897949,0.8955976963043213
39,14,32.0,1.0,0.003998994827270508,32.0,1.0,0.07728171348571777,0.5602884292602539
39,14,32.0,1.0,0.0039997100830078125,32.0,1.0,0.08600187301635742,0.4230070114135742
39,14,32.0,1.0,0.003998279571533203,32.0,1.0,0.08300042152404785,0.8020074367523193
39,14,32.0,1.0,0.0029997825622558594,32.0,1.0,0.0780327320098877,0.21100163459777832
39,14,32.0,1.0,0.003999948501586914,32.0,1.0,0.07900071144104004,0.5186560153961182
39,14,32.0,1.0,0.00396275520324707,32.0,1.0,0.09296894073486328,0.32596588134765625
